"event_id","customer_id","session_id","event_type","event_timestamp"
"1","1","03071fb0","app_open","2023-12-07 19:00:00"
"2","1","03071fb0","search","2023-12-07 19:01:10"
"3","1","03071fb0","view_restaurant","2023-12-07 19:01:57"
"4","1","03071fb0","add_to_cart","2023-12-07 19:03:11"
"5","1","2226795e","app_open","2023-07-13 10:00:00"
"6","1","2226795e","search","2023-07-13 10:00:35"
"7","1","2226795e","view_restaurant","2023-07-13 10:01:46"
"8","1","336b5709","app_open","2023-09-14 16:00:00"
"9","1","336b5709","search","2023-09-14 16:00:26"
"10","1","336b5709","view_restaurant","2023-09-14 16:02:16"
"11","1","336b5709","add_to_cart","2023-09-14 16:03:12"
"12","1","336b5709","checkout","2023-09-14 16:04:33"
"13","1","336b5709","payment","2023-09-14 16:05:42"
"14","2","9fa2ec64","app_open","2023-09-25 09:00:00"
"15","2","9fa2ec64","search","2023-09-25 09:01:47"
"16","2","c89548a2","app_open","2023-11-04 10:00:00"
"17","2","c89548a2","search","2023-11-04 10:01:08"
"18","2","c89548a2","view_restaurant","2023-11-04 10:02:07"
"19","2","c89548a2","add_to_cart","2023-11-04 10:02:45"
"20","2","c89548a2","checkout","2023-11-04 10:03:24"
"21","2","c89548a2","payment","2023-11-04 10:04:41"
"22","2","b7cb76e8","app_open","2023-08-26 13:00:00"
"23","2","b7cb76e8","search","2023-08-26 13:01:43"
"24","2","b7cb76e8","view_restaurant","2023-08-26 13:03:42"
"25","2","315c6a5b","app_open","2023-09-08 10:00:00"
"26","2","315c6a5b","search","2023-09-08 10:01:23"
"27","2","315c6a5b","view_restaurant","2023-09-08 10:03:10"
"28","2","315c6a5b","add_to_cart","2023-09-08 10:04:32"
"29","2","315c6a5b","checkout","2023-09-08 10:04:53"
"30","3","2caced70","app_open","2023-12-21 10:00:00"
"31","3","2caced70","search","2023-12-21 10:00:30"
"32","3","602e3ae0","app_open","2023-07-31 20:00:00"
"33","3","602e3ae0","search","2023-07-31 20:00:26"
"34","3","602e3ae0","view_restaurant","2023-07-31 20:02:01"
"35","3","a1c57975","app_open","2023-08-16 22:00:00"
"36","3","a1c57975","search","2023-08-16 22:00:32"
"37","3","a1c57975","view_restaurant","2023-08-16 22:01:38"
"38","3","a1c57975","add_to_cart","2023-08-16 22:03:13"
"39","3","53913dd2","app_open","2023-09-02 18:00:00"
"40","3","53913dd2","search","2023-09-02 18:01:36"
"41","3","53913dd2","view_restaurant","2023-09-02 18:02:51"
"42","3","53913dd2","add_to_cart","2023-09-02 18:03:39"
"43","3","e5cc0f78","app_open","2023-09-15 18:00:00"
"44","3","e5cc0f78","search","2023-09-15 18:01:30"
"45","3","e5cc0f78","view_restaurant","2023-09-15 18:02:53"
"46","3","e5cc0f78","add_to_cart","2023-09-15 18:04:50"
"47","3","e5cc0f78","checkout","2023-09-15 18:06:49"
"48","3","e5cc0f78","payment","2023-09-15 18:07:55"
"49","4","493c7036","app_open","2023-11-09 08:00:00"
"50","4","493c7036","search","2023-11-09 08:01:37"
"51","4","493c7036","view_restaurant","2023-11-09 08:02:10"
"52","5","195f72ba","app_open","2023-09-13 13:00:00"
"53","5","195f72ba","search","2023-09-13 13:00:37"
"54","6","fbc9c7e8","app_open","2023-10-29 16:00:00"
"55","6","fbc9c7e8","search","2023-10-29 16:00:37"
"56","7","2de7d435","app_open","2023-09-09 12:00:00"
"57","7","2de7d435","search","2023-09-09 12:01:20"
"58","7","2de7d435","view_restaurant","2023-09-09 12:02:21"
"59","7","2de7d435","add_to_cart","2023-09-09 12:03:39"
"60","7","376911e2","app_open","2023-12-09 19:00:00"
"61","7","376911e2","search","2023-12-09 19:00:22"
"62","7","376911e2","view_restaurant","2023-12-09 19:01:45"
"63","7","376911e2","add_to_cart","2023-12-09 19:03:43"
"64","7","376911e2","checkout","2023-12-09 19:05:42"
"65","7","376911e2","payment","2023-12-09 19:06:23"
"66","8","7bc359d4","app_open","2023-12-09 17:00:00"
"67","8","7bc359d4","search","2023-12-09 17:01:46"
"68","8","7bc359d4","view_restaurant","2023-12-09 17:02:37"
"69","8","7bc359d4","add_to_cart","2023-12-09 17:04:08"
"70","8","7bc359d4","checkout","2023-12-09 17:04:38"
"71","9","843fbc05","app_open","2023-11-08 19:00:00"
"72","9","843fbc05","search","2023-11-08 19:01:05"
"73","9","843fbc05","view_restaurant","2023-11-08 19:01:36"
"74","9","843fbc05","add_to_cart","2023-11-08 19:03:26"
"75","9","843fbc05","checkout","2023-11-08 19:05:13"
"76","10","6112a105","app_open","2023-12-19 20:00:00"
"77","10","6112a105","search","2023-12-19 20:00:19"
"78","10","6112a105","view_restaurant","2023-12-19 20:01:13"
"79","10","6112a105","add_to_cart","2023-12-19 20:01:58"
"80","10","6112a105","checkout","2023-12-19 20:03:12"
"81","10","916029ff","app_open","2023-07-10 10:00:00"
"82","10","916029ff","search","2023-07-10 10:01:22"
"83","10","916029ff","view_restaurant","2023-07-10 10:02:07"
"84","10","916029ff","add_to_cart","2023-07-10 10:02:29"
"85","10","916029ff","checkout","2023-07-10 10:04:18"
"86","10","9fe2dd6b","app_open","2023-08-12 22:00:00"
"87","10","4f64244d","app_open","2023-11-12 13:00:00"
"88","10","4f64244d","search","2023-11-12 13:01:53"
"89","10","4f64244d","view_restaurant","2023-11-12 13:03:04"
"90","10","4f64244d","add_to_cart","2023-11-12 13:03:16"
"91","10","e0be5518","app_open","2023-10-26 12:00:00"
"92","10","e0be5518","search","2023-10-26 12:01:45"
"93","10","e0be5518","view_restaurant","2023-10-26 12:02:17"
"94","10","e0be5518","add_to_cart","2023-10-26 12:03:01"
"95","10","e0be5518","checkout","2023-10-26 12:03:51"
"96","10","e0be5518","payment","2023-10-26 12:04:18"
"97","11","3ede272d","app_open","2023-07-08 14:00:00"
"98","11","200923d0","app_open","2023-12-24 14:00:00"
"99","11","200923d0","search","2023-12-24 14:01:58"
